# Region type : patch outlet
# Faces         : 10
# Area          : 3.42015068e-06
# Scale factor  : 1.00000000e+00
# Weight field  : phi
# Time          	weightedAverage(C2H2)	weightedAverage(H2)	weightedAverage(CH4)	weightedAverage(C2H4)	weightedAverage(C4H4)	weightedAverage(T)
0.25000000      	3.34006388e-01	5.21498895e-10	4.19987967e-04	1.07792229e-11	1.10109636e-07	3.58736682e+02
0.50000000      	3.34006271e-01	8.64751551e-10	4.19987981e-04	3.76659657e-11	2.17155493e-07	3.63508499e+02
0.75000000      	3.34005694e-01	2.72414840e-09	4.19988062e-04	2.39196220e-10	7.48284088e-07	3.63803430e+02
1.00000000      	3.34002923e-01	1.37667691e-08	4.19988920e-04	2.22899685e-09	3.26584778e-06	3.63522040e+02
1.25000000      	3.33991701e-01	7.96018342e-08	4.19997096e-04	1.73731057e-08	1.30346735e-05	3.63315390e+02
1.50000000      	3.33956299e-01	3.89367577e-07	4.20050668e-04	9.50490524e-08	4.15684290e-05	3.63233260e+02
1.75000000      	3.33862864e-01	1.51199408e-06	4.20305904e-04	4.24117004e-07	1.09411305e-04	3.63211479e+02
2.00000000      	3.33645942e-01	4.72656199e-06	4.21227471e-04	1.60706189e-06	2.50256728e-04	3.63209005e+02
2.25000000      	3.33202085e-01	1.21809948e-05	4.23815221e-04	5.01157872e-06	5.10808901e-04	3.63212592e+02
2.50000000      	3.32405293e-01	2.65647124e-05	4.29651135e-04	1.28480985e-05	9.41014700e-04	3.63220098e+02
2.75000000      	3.31142136e-01	5.03192916e-05	4.40602234e-04	2.77384553e-05	1.57848144e-03	3.63232336e+02
3.00000000      	3.29347789e-01	8.48002951e-05	4.58274289e-04	5.19255223e-05	2.43633405e-03	3.63250429e+02
3.25000000      	3.27024805e-01	1.29831286e-04	4.83499744e-04	8.65321019e-05	3.50023036e-03	3.63274959e+02
3.50000000      	3.24239203e-01	1.83800632e-04	5.16097604e-04	1.31227795e-04	4.73386248e-03	3.63305734e+02
3.75000000      	3.21100448e-01	2.44149834e-04	5.54958154e-04	1.84378931e-04	6.08866119e-03	3.63341893e+02
4.00000000      	3.17736295e-01	3.07981868e-04	5.98348984e-04	2.43513470e-04	7.51338056e-03	3.63382145e+02
4.25000000      	3.14271287e-01	3.72570224e-04	6.44288738e-04	3.05864836e-04	8.96104483e-03	3.63425046e+02
4.50000000      	3.10813061e-01	4.35668354e-04	6.90868546e-04	3.68819531e-04	1.03926174e-02	3.63469214e+02
4.75000000      	3.07446546e-01	4.95622555e-04	7.36464819e-04	4.30194831e-04	1.17779562e-02	3.63513393e+02
5.00000000      	3.04233973e-01	5.51345222e-04	7.79840043e-04	4.88352818e-04	1.30950648e-02	3.63556540e+02
5.25000000      	3.01218082e-01	6.02215737e-04	8.20156407e-04	5.42196272e-04	1.43285967e-02	3.63597900e+02
5.50000000      	2.98426372e-01	6.47961811e-04	8.56933977e-04	5.91097708e-04	1.54682815e-02	3.63636845e+02
5.75000000      	2.95875007e-01	6.88553840e-04	8.89981847e-04	6.34803043e-04	1.65076672e-02	3.63672873e+02
6.00000000      	2.93571752e-01	7.24124826e-04	9.19321991e-04	6.73334821e-04	1.74432879e-02	3.63705766e+02
6.25000000      	2.91517923e-01	7.54915527e-04	9.45117876e-04	7.06906731e-04	1.82741943e-02	3.63735279e+02
6.50000000      	2.89709521e-01	7.81239580e-04	9.67615405e-04	7.35854459e-04	1.90017281e-02	3.63761434e+02
6.75000000      	2.88137964e-01	8.03460289e-04	9.87098225e-04	7.60581891e-04	1.96293674e-02	3.63784227e+02
7.00000000      	2.86790647e-01	8.21973670e-04	1.00385795e-03	7.81521781e-04	2.01625419e-02	3.63803751e+02
7.25000000      	2.85651580e-01	8.37193669e-04	1.01817689e-03	7.99108268e-04	2.06083450e-02	3.63820256e+02
7.50000000      	2.84702159e-01	8.49538047e-04	1.03032016e-03	8.13758934e-04	2.09751356e-02	3.63833982e+02
7.75000000      	2.83922060e-01	8.59415181e-04	1.04053390e-03	8.25864369e-04	2.12720690e-02	3.63845261e+02
8.00000000      	2.83290182e-01	8.67212288e-04	1.04904642e-03	8.35782879e-04	2.15086053e-02	3.63854354e+02
8.25000000      	2.82785554e-01	8.73286072e-04	1.05607017e-03	8.43838672e-04	2.16940550e-02	3.63861562e+02
8.50000000      	2.82388114e-01	8.77956206e-04	1.06180315e-03	8.50322001e-04	2.18372021e-02	3.63867216e+02
8.75000000      	2.82079314e-01	8.81501834e-04	1.06642941e-03	8.55490300e-04	2.19460302e-02	3.63871497e+02
9.00000000      	2.81842527e-01	8.84160868e-04	1.07011865e-03	8.59569826e-04	2.20275572e-02	3.63874753e+02
9.25000000      	2.81663261e-01	8.86131508e-04	1.07302533e-03	8.62757439e-04	2.20877688e-02	3.63877190e+02
9.50000000      	2.81529199e-01	8.87575421e-04	1.07528781e-03	8.65222549e-04	2.21316323e-02	3.63879038e+02
9.75000000      	2.81430120e-01	8.88621882e-04	1.07702771e-03	8.67109151e-04	2.21631678e-02	3.63880403e+02
10.00000000     	2.81357719e-01	8.89372390e-04	1.07834992e-03	8.68538026e-04	2.21855552e-02	3.63881426e+02
10.25000000     	2.81305384e-01	8.89905279e-04	1.07934310e-03	8.69609074e-04	2.22012565e-02	3.63882150e+02
10.50000000     	2.81267942e-01	8.90280046e-04	1.08008074e-03	8.70403743e-04	2.22121411e-02	3.63882684e+02
10.75000000     	2.81241418e-01	8.90541215e-04	1.08062266e-03	8.70987470e-04	2.22196031e-02	3.63883130e+02
11.00000000     	2.81222805e-01	8.90721641e-04	1.08101661e-03	8.71412076e-04	2.22246642e-02	3.63883399e+02
11.25000000     	2.81209861e-01	8.90845255e-04	1.08130013e-03	8.71718012e-04	2.22280620e-02	3.63883594e+02
11.50000000     	2.81200935e-01	8.90929280e-04	1.08150222e-03	8.71936425e-04	2.22303207e-02	3.63883661e+02
11.75000000     	2.81194829e-01	8.90985965e-04	1.08164493e-03	8.72090973e-04	2.22318081e-02	3.63883748e+02
12.00000000     	2.81190686e-01	8.91023932e-04	1.08174483e-03	8.72199396e-04	2.22327787e-02	3.63883811e+02
12.25000000     	2.81187895e-01	8.91049189e-04	1.08181418e-03	8.72274836e-04	2.22334064e-02	3.63883853e+02
12.50000000     	2.81186027e-01	8.91065882e-04	1.08186193e-03	8.72326913e-04	2.22338091e-02	3.63883874e+02
12.75000000     	2.81184786e-01	8.91076845e-04	1.08189457e-03	8.72362589e-04	2.22340651e-02	3.63883913e+02
13.00000000     	2.81183967e-01	8.91084003e-04	1.08191671e-03	8.72386853e-04	2.22342267e-02	3.63883937e+02
13.25000000     	2.81183429e-01	8.91088650e-04	1.08193163e-03	8.72403240e-04	2.22343279e-02	3.63883952e+02
13.50000000     	2.81183079e-01	8.91091651e-04	1.08194162e-03	8.72414233e-04	2.22343907e-02	3.63883954e+02
13.75000000     	2.81182851e-01	8.91093578e-04	1.08194826e-03	8.72421561e-04	2.22344294e-02	3.63883944e+02
14.00000000     	2.81182704e-01	8.91094810e-04	1.08195265e-03	8.72426416e-04	2.22344531e-02	3.63883967e+02
14.25000000     	2.81182610e-01	8.91095593e-04	1.08195554e-03	8.72429613e-04	2.22344675e-02	3.63883959e+02
14.50000000     	2.81182549e-01	8.91096090e-04	1.08195743e-03	8.72431708e-04	2.22344762e-02	3.63883968e+02
14.75000000     	2.81182511e-01	8.91096403e-04	1.08195866e-03	8.72433073e-04	2.22344814e-02	3.63883949e+02
15.00000000     	2.81182487e-01	8.91096599e-04	1.08195945e-03	8.72433957e-04	2.22344845e-02	3.63883942e+02
15.25000000     	2.81182471e-01	8.91096722e-04	1.08195997e-03	8.72434528e-04	2.22344863e-02	3.63883968e+02
15.50000000     	2.81182462e-01	8.91096799e-04	1.08196029e-03	8.72434895e-04	2.22344873e-02	3.63883967e+02
15.75000000     	2.81182456e-01	8.91096846e-04	1.08196051e-03	8.72435129e-04	2.22344880e-02	3.63883965e+02
16.00000000     	2.81182452e-01	8.91096876e-04	1.08196064e-03	8.72435279e-04	2.22344883e-02	3.63883952e+02
16.25000000     	2.81182450e-01	8.91096894e-04	1.08196072e-03	8.72435373e-04	2.22344885e-02	3.63883966e+02
16.50000000     	2.81182448e-01	8.91096905e-04	1.08196078e-03	8.72435432e-04	2.22344886e-02	3.63883970e+02
16.75000000     	2.81182447e-01	8.91096912e-04	1.08196081e-03	8.72435470e-04	2.22344887e-02	3.63883970e+02
17.00000000     	2.81182447e-01	8.91096917e-04	1.08196083e-03	8.72435493e-04	2.22344887e-02	3.63883969e+02
17.25000000     	2.81182446e-01	8.91096919e-04	1.08196084e-03	8.72435507e-04	2.22344887e-02	3.63883957e+02
17.50000000     	2.81182446e-01	8.91096921e-04	1.08196085e-03	8.72435516e-04	2.22344887e-02	3.63883944e+02
17.75000000     	2.81182446e-01	8.91096922e-04	1.08196086e-03	8.72435522e-04	2.22344887e-02	3.63883943e+02
18.00000000     	2.81182446e-01	8.91096923e-04	1.08196086e-03	8.72435525e-04	2.22344887e-02	3.63883964e+02
18.25000000     	2.81182446e-01	8.91096923e-04	1.08196086e-03	8.72435527e-04	2.22344888e-02	3.63883964e+02
18.50000000     	2.81182446e-01	8.91096924e-04	1.08196086e-03	8.72435529e-04	2.22344888e-02	3.63883973e+02
18.75000000     	2.81182446e-01	8.91096924e-04	1.08196087e-03	8.72435529e-04	2.22344888e-02	3.63883950e+02
19.00000000     	2.81182446e-01	8.91096924e-04	1.08196087e-03	8.72435530e-04	2.22344887e-02	3.63883943e+02
19.25000000     	2.81182446e-01	8.91096924e-04	1.08196087e-03	8.72435530e-04	2.22344888e-02	3.63883961e+02
19.50000000     	2.81182446e-01	8.91096924e-04	1.08196087e-03	8.72435531e-04	2.22344888e-02	3.63883953e+02
19.75000000     	2.81182446e-01	8.91096924e-04	1.08196087e-03	8.72435531e-04	2.22344888e-02	3.63883953e+02
20.00000000     	2.81182446e-01	8.91096925e-04	1.08196087e-03	8.72435532e-04	2.22344888e-02	3.63883934e+02
