t(s),E(s),F(s),theta,E(theta),F(theta)
0,4.7408E-06,0,0,0.002210742,0
0.6,4.926714E-06,2.900254E-06,0.001286663,0.002297438,2.900254E-06
1.2,4.647844E-06,5.772622E-06,0.002573326,0.002167394,5.772622E-06
1.8,4.926714E-06,8.644989E-06,0.003859989,0.002297438,8.644989E-06
2.4,5.670369E-06,1.182411E-05,0.005146653,0.002644221,1.182411E-05
3,4.833757E-06,1.497535E-05,0.006433316,0.00225409,1.497535E-05
3.6,4.7408E-06,1.784772E-05,0.007719979,0.002210742,1.784772E-05
4.2,4.368973E-06,2.058065E-05,0.009006642,0.00203735,2.058065E-05
4.8,4.554887E-06,2.325781E-05,0.01029331,0.002124046,2.325781E-05
5.4,4.368973E-06,2.593497E-05,0.01157997,0.00203735,2.593497E-05
6,4.7408E-06,2.86679E-05,0.01286663,0.002210742,2.86679E-05
6.6,5.94924E-06,3.187491E-05,0.01415329,0.002774264,3.187491E-05
7.2,4.7408E-06,3.508192E-05,0.01543996,0.002210742,3.508192E-05
7.8,5.019671E-06,3.801007E-05,0.01672662,0.002340786,3.801007E-05
8.4,4.833757E-06,4.096609E-05,0.01801328,0.00225409,4.096609E-05
9,3.904189E-06,4.358748E-05,0.01929995,0.001820611,4.358748E-05
9.6,3.997146E-06,4.595788E-05,0.02058661,0.001863959,4.595788E-05
10.2,2.881663E-06,4.802152E-05,0.02187327,0.001343784,4.802152E-05
10.8,3.253491E-06,4.986207E-05,0.02315994,0.001517176,4.986207E-05
11.4,3.625318E-06,5.192571E-05,0.0244466,0.001690567,5.192571E-05
12,3.160534E-06,5.396146E-05,0.02573326,0.001473828,5.396146E-05
12.6,2.602792E-06,5.569046E-05,0.02701993,0.001213741,5.569046E-05
13.2,2.509836E-06,5.722425E-05,0.02830659,0.001170393,5.722425E-05
13.8,2.97462E-06,5.886959E-05,0.02959325,0.001387132,5.886959E-05
14.4,2.881663E-06,6.062647E-05,0.03087992,0.001343784,6.062647E-05
15,1.673224E-06,6.199294E-05,0.03216658,0.0007802619,6.199294E-05
15.6,2.045051E-06,6.310842E-05,0.03345324,0.0009536534,6.310842E-05
16.2,2.323922E-06,6.441911E-05,0.03473991,0.001083697,6.441911E-05
16.8,2.230965E-06,6.578558E-05,0.03602657,0.001040349,6.578558E-05
17.4,1.580267E-06,6.692895E-05,0.03731323,0.000736914,6.692895E-05
18,1.673224E-06,6.7905E-05,0.03859989,0.0007802619,6.7905E-05
18.6,1.48731E-06,6.885316E-05,0.03988656,0.0006935661,6.885316E-05
19.2,1.394353E-06,6.971765E-05,0.04117322,0.0006502182,6.971765E-05
19.8,1.580267E-06,7.061004E-05,0.04245988,0.000736914,7.061004E-05
20.4,1.115482E-06,7.141877E-05,0.04374655,0.0005201746,7.141877E-05
21,1.208439E-06,7.211594E-05,0.04503321,0.0005635225,7.211594E-05
21.6,2.138008E-06,7.311988E-05,0.04631987,0.0009970013,7.311988E-05
22.2,2.416879E-06,7.448634E-05,0.04760654,0.001127045,7.448634E-05
22.8,2.416879E-06,7.593647E-05,0.0488932,0.001127045,7.593647E-05
23.4,2.788706E-06,7.749814E-05,0.05017986,0.001300436,7.749814E-05
24,2.602792E-06,7.911559E-05,0.05146653,0.001213741,7.911559E-05
24.6,2.788706E-06,8.073304E-05,0.05275319,0.001300436,8.073304E-05
25.2,3.253491E-06,8.25457E-05,0.05403985,0.001517176,8.25457E-05
