# Region type : patch outlet
# Faces         : 10
# Area          : 3.42015068e-06
# Scale factor  : 1.00000000e+00
# Weight field  : phi
# Time          	weightedAverage(C2H2)	weightedAverage(H2)	weightedAverage(CH4)	weightedAverage(C2H4)	weightedAverage(C4H4)	weightedAverage(T)
0.25000000      	3.34006136e-01	1.65855482e-09	4.19988030e-04	7.00586919e-11	3.34264246e-07	3.80629954e+02
0.50000000      	3.34005782e-01	2.88242137e-09	4.19988106e-04	2.83313485e-10	6.59672776e-07	3.60456635e+02
0.75000000      	3.34005742e-01	2.98437228e-09	4.19988092e-04	3.62191636e-10	6.97913326e-07	3.62975254e+02
1.00000000      	3.34005461e-01	4.08278888e-09	4.19988128e-04	5.92153055e-10	9.54042301e-07	3.63684119e+02
1.25000000      	3.34004895e-01	6.35805249e-09	4.19988216e-04	1.10073488e-09	1.46721983e-06	3.63780390e+02
1.50000000      	3.34003812e-01	1.08659246e-08	4.19988440e-04	2.22224586e-09	2.44657041e-06	3.63672395e+02
1.75000000      	3.34001713e-01	2.01610138e-08	4.19989076e-04	4.73092638e-09	4.33412009e-06	3.63503460e+02
2.00000000      	3.33997640e-01	4.00740988e-08	4.19990913e-04	1.03507486e-08	7.95385539e-06	3.63344264e+02
2.25000000      	3.33989869e-01	8.33818139e-08	4.19995982e-04	2.29317252e-08	1.47345498e-05	3.63223192e+02
2.50000000      	3.33975377e-01	1.76724926e-07	4.20009158e-04	5.14110253e-08	2.70599055e-05	3.63143750e+02
2.75000000      	3.33948893e-01	3.73063842e-07	4.20041685e-04	1.16952919e-07	4.88803236e-05	3.63097367e+02
3.00000000      	3.33901617e-01	7.70179492e-07	4.20117953e-04	2.66956830e-07	8.64570412e-05	3.63073390e+02
3.25000000      	3.33819676e-01	1.53462111e-06	4.20286928e-04	5.97916633e-07	1.49142645e-04	3.63063031e+02
3.50000000      	3.33682748e-01	2.92652416e-06	4.20638286e-04	1.28572955e-06	2.49888854e-04	3.63060347e+02
3.75000000      	3.33463280e-01	5.31809437e-06	4.21321069e-04	2.61768443e-06	4.05220766e-04	3.63061925e+02
4.00000000      	3.33126723e-01	9.19780652e-06	4.22560276e-04	5.01684623e-06	6.34527884e-04	3.63066163e+02
4.25000000      	3.32632988e-01	1.51546008e-05	4.24665453e-04	9.04885678e-06	9.58693637e-04	3.63072591e+02
