T,C2H2-m,CO-m
773,0.361485,4.297761E-05
873,0.358266,6.322058E-05
973,0.3599625,0.000220343
1023,0.3349283,0.0008558838
1073,0.3356895,0.002332539
1123,0.2840768,0.004413292
1173,0.2902755,0.004787994
1273,0.271179,0.001994759
