# Region type : patch outlet
# Faces         : 10
# Area          : 3.42015068e-06
# Scale factor  : 1.00000000e+00
# Weight field  : phi
# Time          	weightedAverage(C2H2)	weightedAverage(H2)	weightedAverage(CH4)	weightedAverage(C2H4)	weightedAverage(C4H4)	weightedAverage(T)
0.25000000      	3.34006511e-01	3.93099558e-12	4.19987935e-04	6.23822297e-16	1.18417559e-09	3.29718901e+02
0.50000000      	3.34006497e-01	5.17572382e-11	4.19987935e-04	4.38634012e-14	1.39271921e-08	3.59179022e+02
0.75000000      	3.34006482e-01	1.02384793e-10	4.19987935e-04	1.78638816e-13	2.77221821e-08	3.67196520e+02
1.00000000      	3.34006437e-01	2.45903392e-10	4.19987932e-04	9.02783806e-13	6.85512810e-08	3.71008783e+02
1.25000000      	3.34006266e-01	7.55142097e-10	4.19987924e-04	7.68080446e-12	2.27289148e-07	3.72925892e+02
1.50000000      	3.34005494e-01	3.04492496e-09	4.19987939e-04	8.06311526e-11	9.45323535e-07	3.73729740e+02
1.75000000      	3.34002377e-01	1.34293147e-08	4.19988309e-04	6.82198584e-10	3.82690038e-06	3.73985224e+02
2.00000000      	3.33992296e-01	5.30883298e-08	4.19990638e-04	3.95754817e-09	1.30176337e-05	3.74032514e+02
2.25000000      	3.33966048e-01	1.74960121e-07	4.19999810e-04	1.63199440e-08	3.65200938e-05	3.74027066e+02
2.50000000      	3.33908759e-01	4.81411707e-07	4.20026495e-04	5.26468315e-08	8.68416373e-05	3.74018431e+02
2.75000000      	3.33800070e-01	1.13092380e-06	4.20088831e-04	1.42818201e-07	1.80569407e-04	3.74015503e+02
3.00000000      	3.33616317e-01	2.32344905e-06	4.20211923e-04	3.38230260e-07	3.36426672e-04	3.74017412e+02
3.25000000      	3.33334643e-01	4.26427916e-06	4.20424528e-04	7.12008601e-07	5.71925065e-04	3.74022621e+02
3.50000000      	3.32937761e-01	7.11858100e-06	4.20753702e-04	1.34942332e-06	8.99645502e-04	3.74030364e+02
3.75000000      	3.32417633e-01	1.09739303e-05	4.21219254e-04	2.33225241e-06	1.32451773e-03	3.74040397e+02
4.00000000      	3.31776846e-01	1.58233332e-05	4.21829908e-04	3.72369575e-06	1.84297200e-03	3.74052461e+02
4.25000000      	3.31027592e-01	2.15711661e-05	4.22582159e-04	5.55815765e-06	2.44397712e-03	3.74066284e+02
4.50000000      	3.30189039e-01	2.80555494e-05	4.23461595e-04	7.83716005e-06	3.11128875e-03	3.74081509e+02
4.75000000      	3.29284185e-01	3.50770577e-05	4.24445733e-04	1.05306825e-05	3.82602404e-03	3.74097804e+02
5.00000000      	3.28337107e-01	4.24248932e-05	4.25507206e-04	1.35821044e-05	4.56885321e-03	3.74114726e+02
5.25000000      	3.27371051e-01	4.98958528e-05	4.26616543e-04	1.69147876e-05	5.32148588e-03	3.74131911e+02
5.50000000      	3.26407395e-01	5.73052791e-05	4.27744224e-04	2.04388202e-05	6.06744469e-03	3.74149066e+02
5.75000000      	3.25465231e-01	6.44919522e-05	4.28862092e-04	2.40573125e-05	6.79233406e-03	3.74165783e+02
6.00000000      	3.24561241e-01	7.13198061e-05	4.29944400e-04	2.76723085e-05	7.48387296e-03	3.74181788e+02
6.25000000      	3.23709620e-01	7.76785321e-05	4.30968671e-04	3.11903882e-05	8.13187632e-03	3.74196846e+02
6.50000000      	3.22921925e-01	8.34842541e-05	4.31916482e-04	3.45279569e-05	8.72829278e-03	3.74210726e+02
6.75000000      	3.22206844e-01	8.86803123e-05	4.32774109e-04	3.76158829e-05	9.26730162e-03	3.74223263e+02
7.00000000      	3.21569977e-01	9.32375383e-05	4.33532930e-04	4.04029480e-05	9.74540817e-03	3.74234381e+02
7.25000000      	3.21013746e-01	9.71533084e-05	4.34189453e-04	4.28576230e-05	1.01614602e-02	3.74244031e+02
7.50000000      	3.20537487e-01	1.00449011e-04	4.34744943e-04	4.49679634e-05	1.05165338e-02	3.74252228e+02
7.75000000      	3.20137781e-01	1.03165940e-04	4.35204692e-04	4.67397162e-05	1.08136672e-02	3.74259061e+02
8.00000000      	3.19808971e-01	1.05360042e-04	4.35577031e-04	4.81930477e-05	1.10574638e-02	3.74264613e+02
8.25000000      	3.19543801e-01	1.07096234e-04	4.35872244e-04	4.93585028e-05	1.12536168e-02	3.74269011e+02
8.50000000      	3.19334104e-01	1.08442913e-04	4.36101518e-04	5.02727872e-05	1.14084112e-02	3.74272305e+02
8.75000000      	3.19171427e-01	1.09467309e-04	4.36276054e-04	5.09749513e-05	1.15282683e-02	3.74274834e+02
9.00000000      	3.19047568e-01	1.10231939e-04	4.36406375e-04	5.15032712e-05	1.16193669e-02	3.74276735e+02
9.25000000      	3.18954964e-01	1.10792322e-04	4.36501892e-04	5.18930342e-05	1.16873688e-02	3.74278115e+02
9.50000000      	3.18886934e-01	1.11195832e-04	4.36570661e-04	5.21751971e-05	1.17372501e-02	3.74279157e+02
9.75000000      	3.18837800e-01	1.11481494e-04	4.36619334e-04	5.23758032e-05	1.17732264e-02	3.74279897e+02
10.00000000     	3.18802887e-01	1.11680462e-04	4.36653226e-04	5.25159820e-05	1.17987550e-02	3.74280434e+02
10.25000000     	3.18778466e-01	1.11816902e-04	4.36676462e-04	5.26123328e-05	1.18165886e-02	3.74280818e+02
10.50000000     	3.18761640e-01	1.11909080e-04	4.36692157e-04	5.26775254e-05	1.18288609e-02	3.74281084e+02
10.75000000     	3.18750212e-01	1.11970475e-04	4.36702610e-04	5.27209799e-05	1.18371853e-02	3.74281252e+02
11.00000000     	3.18742558e-01	1.12010814e-04	4.36709478e-04	5.27495346e-05	1.18427543e-02	3.74281366e+02
11.25000000     	3.18737498e-01	1.12036978e-04	4.36713934e-04	5.27680457e-05	1.18464312e-02	3.74281442e+02
11.50000000     	3.18734195e-01	1.12053739e-04	4.36716790e-04	5.27798919e-05	1.18488282e-02	3.74281506e+02
11.75000000     	3.18732065e-01	1.12064351e-04	4.36718599e-04	5.27873805e-05	1.18503722e-02	3.74281536e+02
