P,T,Q,N2,H2,R,W,save
10000,1173.0,373,0.54,0.10,True,(1173.0 - 300) * (1 - exp(-(x / 0.02492942) ** 0.78913918)) - (1173.0 - 400) * (1 - exp(-(x / 0.40810172) ** 11.91548263))   ,results-plug-source-042-rad-T-P-010000-T-1173-Q-0373-H2-0.10
10000,1223.0,373,0.54,0.10,True,(1223.0 - 300) * (1 - exp(-(x / 0.02596356) ** 0.85168097)) - (1223.0 - 400) * (1 - exp(-(x / 0.40572591) ** 11.01722351))   ,results-plug-source-043-rad-T-P-010000-T-1223-Q-0373-H2-0.10
10000,1273.0,373,0.54,0.10,True,(1273.0 - 300) * (1 - exp(-(x / 0.02682903) ** 0.91051192)) - (1273.0 - 400) * (1 - exp(-(x / 0.40342913) ** 10.36909121))   ,results-plug-source-044-rad-T-P-010000-T-1273-Q-0373-H2-0.10
3000,773.0,222,0.64,0.00,False,(773.0 - 300) * (1 - exp(-(x / 0.04132785) ** 1.92089872)) - (773.0 - 400) * (1 - exp(-(x / 0.36586941) ** 12.41516606))   ,results-plug-source-045-rad-F-P-003000-T-0773-Q-0222-H2-0.00
3000,873.0,222,0.64,0.00,False,(873.0 - 300) * (1 - exp(-(x / 0.03457862) ** 1.41582889)) - (873.0 - 400) * (1 - exp(-(x / 0.39032227) ** 9.79102679))   ,results-plug-source-046-rad-F-P-003000-T-0873-Q-0222-H2-0.00
3000,973.0,222,0.64,0.00,False,(973.0 - 300) * (1 - exp(-(x / 0.02537489) ** 0.99659743)) - (973.0 - 400) * (1 - exp(-(x / 0.39703098) ** 9.77523826))   ,results-plug-source-047-rad-F-P-003000-T-0973-Q-0222-H2-0.00
3000,1023.0,222,0.64,0.00,False,(1023.0 - 300) * (1 - exp(-(x / 0.02528152) ** 0.88494798)) - (1023.0 - 400) * (1 - exp(-(x / 0.40339555) ** 10.55513796))   ,results-plug-source-048-rad-F-P-003000-T-1023-Q-0222-H2-0.00
3000,1073.0,222,0.64,0.00,False,(1073.0 - 300) * (1 - exp(-(x / 0.02507178) ** 0.81631547)) - (1073.0 - 400) * (1 - exp(-(x / 0.40847247) ** 11.98899245))   ,results-plug-source-049-rad-F-P-003000-T-1073-Q-0222-H2-0.00
3000,1123.0,222,0.64,0.00,False,(1123.0 - 300) * (1 - exp(-(x / 0.02497517) ** 0.80065655)) - (1123.0 - 400) * (1 - exp(-(x / 0.40832661) ** 11.97005813))   ,results-plug-source-050-rad-F-P-003000-T-1123-Q-0222-H2-0.00
3000,1173.0,222,0.64,0.00,False,(1173.0 - 300) * (1 - exp(-(x / 0.02492942) ** 0.78913918)) - (1173.0 - 400) * (1 - exp(-(x / 0.40810172) ** 11.91548263))   ,results-plug-source-051-rad-F-P-003000-T-1173-Q-0222-H2-0.00
3000,1223.0,222,0.64,0.00,False,(1223.0 - 300) * (1 - exp(-(x / 0.02596356) ** 0.85168097)) - (1223.0 - 400) * (1 - exp(-(x / 0.40572591) ** 11.01722351))   ,results-plug-source-052-rad-F-P-003000-T-1223-Q-0222-H2-0.00
3000,1273.0,222,0.64,0.00,False,(1273.0 - 300) * (1 - exp(-(x / 0.02682903) ** 0.91051192)) - (1273.0 - 400) * (1 - exp(-(x / 0.40342913) ** 10.36909121))   ,results-plug-source-053-rad-F-P-003000-T-1273-Q-0222-H2-0.00
5000,773.0,222,0.64,0.00,False,(773.0 - 300) * (1 - exp(-(x / 0.04132785) ** 1.92089872)) - (773.0 - 400) * (1 - exp(-(x / 0.36586941) ** 12.41516606))   ,results-plug-source-054-rad-F-P-005000-T-0773-Q-0222-H2-0.00
5000,873.0,222,0.64,0.00,False,(873.0 - 300) * (1 - exp(-(x / 0.03457862) ** 1.41582889)) - (873.0 - 400) * (1 - exp(-(x / 0.39032227) ** 9.79102679))   ,results-plug-source-055-rad-F-P-005000-T-0873-Q-0222-H2-0.00
5000,973.0,222,0.64,0.00,False,(973.0 - 300) * (1 - exp(-(x / 0.02537489) ** 0.99659743)) - (973.0 - 400) * (1 - exp(-(x / 0.39703098) ** 9.77523826))   ,results-plug-source-056-rad-F-P-005000-T-0973-Q-0222-H2-0.00
5000,1023.0,222,0.64,0.00,False,(1023.0 - 300) * (1 - exp(-(x / 0.02528152) ** 0.88494798)) - (1023.0 - 400) * (1 - exp(-(x / 0.40339555) ** 10.55513796))   ,results-plug-source-057-rad-F-P-005000-T-1023-Q-0222-H2-0.00
5000,1073.0,222,0.64,0.00,False,(1073.0 - 300) * (1 - exp(-(x / 0.02507178) ** 0.81631547)) - (1073.0 - 400) * (1 - exp(-(x / 0.40847247) ** 11.98899245))   ,results-plug-source-058-rad-F-P-005000-T-1073-Q-0222-H2-0.00
5000,1123.0,222,0.64,0.00,False,(1123.0 - 300) * (1 - exp(-(x / 0.02497517) ** 0.80065655)) - (1123.0 - 400) * (1 - exp(-(x / 0.40832661) ** 11.97005813))   ,results-plug-source-059-rad-F-P-005000-T-1123-Q-0222-H2-0.00
5000,1173.0,222,0.64,0.00,False,(1173.0 - 300) * (1 - exp(-(x / 0.02492942) ** 0.78913918)) - (1173.0 - 400) * (1 - exp(-(x / 0.40810172) ** 11.91548263))   ,results-plug-source-060-rad-F-P-005000-T-1173-Q-0222-H2-0.00
5000,1223.0,222,0.64,0.00,False,(1223.0 - 300) * (1 - exp(-(x / 0.02596356) ** 0.85168097)) - (1223.0 - 400) * (1 - exp(-(x / 0.40572591) ** 11.01722351))   ,results-plug-source-061-rad-F-P-005000-T-1223-Q-0222-H2-0.00
5000,1273.0,222,0.64,0.00,False,(1273.0 - 300) * (1 - exp(-(x / 0.02682903) ** 0.91051192)) - (1273.0 - 400) * (1 - exp(-(x / 0.40342913) ** 10.36909121))   ,results-plug-source-062-rad-F-P-005000-T-1273-Q-0222-H2-0.00
10000,773.0,222,0.64,0.00,False,(773.0 - 300) * (1 - exp(-(x / 0.04132785) ** 1.92089872)) - (773.0 - 400) * (1 - exp(-(x / 0.36586941) ** 12.41516606))   ,results-plug-source-063-rad-F-P-010000-T-0773-Q-0222-H2-0.00
10000,873.0,222,0.64,0.00,False,(873.0 - 300) * (1 - exp(-(x / 0.03457862) ** 1.41582889)) - (873.0 - 400) * (1 - exp(-(x / 0.39032227) ** 9.79102679))   ,results-plug-source-064-rad-F-P-010000-T-0873-Q-0222-H2-0.00
10000,973.0,222,0.64,0.00,False,(973.0 - 300) * (1 - exp(-(x / 0.02537489) ** 0.99659743)) - (973.0 - 400) * (1 - exp(-(x / 0.39703098) ** 9.77523826))   ,results-plug-source-065-rad-F-P-010000-T-0973-Q-0222-H2-0.00
10000,1023.0,222,0.64,0.00,False,(1023.0 - 300) * (1 - exp(-(x / 0.02528152) ** 0.88494798)) - (1023.0 - 400) * (1 - exp(-(x / 0.40339555) ** 10.55513796))   ,results-plug-source-066-rad-F-P-010000-T-1023-Q-0222-H2-0.00
10000,1073.0,222,0.64,0.00,False,(1073.0 - 300) * (1 - exp(-(x / 0.02507178) ** 0.81631547)) - (1073.0 - 400) * (1 - exp(-(x / 0.40847247) ** 11.98899245))   ,results-plug-source-067-rad-F-P-010000-T-1073-Q-0222-H2-0.00
10000,1123.0,222,0.64,0.00,False,(1123.0 - 300) * (1 - exp(-(x / 0.02497517) ** 0.80065655)) - (1123.0 - 400) * (1 - exp(-(x / 0.40832661) ** 11.97005813))   ,results-plug-source-068-rad-F-P-010000-T-1123-Q-0222-H2-0.00
10000,1173.0,222,0.64,0.00,False,(1173.0 - 300) * (1 - exp(-(x / 0.02492942) ** 0.78913918)) - (1173.0 - 400) * (1 - exp(-(x / 0.40810172) ** 11.91548263))   ,results-plug-source-069-rad-F-P-010000-T-1173-Q-0222-H2-0.00
10000,1223.0,222,0.64,0.00,False,(1223.0 - 300) * (1 - exp(-(x / 0.02596356) ** 0.85168097)) - (1223.0 - 400) * (1 - exp(-(x / 0.40572591) ** 11.01722351))   ,results-plug-source-070-rad-F-P-010000-T-1223-Q-0222-H2-0.00
10000,1273.0,222,0.64,0.00,False,(1273.0 - 300) * (1 - exp(-(x / 0.02682903) ** 0.91051192)) - (1273.0 - 400) * (1 - exp(-(x / 0.40342913) ** 10.36909121))   ,results-plug-source-071-rad-F-P-010000-T-1273-Q-0222-H2-0.00
10000,773.0,378,0.64,0.00,False,(773.0 - 300) * (1 - exp(-(x / 0.04132785) ** 1.92089872)) - (773.0 - 400) * (1 - exp(-(x / 0.36586941) ** 12.41516606))   ,results-plug-source-072-rad-F-P-010000-T-0773-Q-0378-H2-0.00
10000,873.0,378,0.64,0.00,False,(873.0 - 300) * (1 - exp(-(x / 0.03457862) ** 1.41582889)) - (873.0 - 400) * (1 - exp(-(x / 0.39032227) ** 9.79102679))   ,results-plug-source-073-rad-F-P-010000-T-0873-Q-0378-H2-0.00
10000,973.0,378,0.64,0.00,False,(973.0 - 300) * (1 - exp(-(x / 0.02537489) ** 0.99659743)) - (973.0 - 400) * (1 - exp(-(x / 0.39703098) ** 9.77523826))   ,results-plug-source-074-rad-F-P-010000-T-0973-Q-0378-H2-0.00
10000,1023.0,378,0.64,0.00,False,(1023.0 - 300) * (1 - exp(-(x / 0.02528152) ** 0.88494798)) - (1023.0 - 400) * (1 - exp(-(x / 0.40339555) ** 10.55513796))   ,results-plug-source-075-rad-F-P-010000-T-1023-Q-0378-H2-0.00
10000,1073.0,378,0.64,0.00,False,(1073.0 - 300) * (1 - exp(-(x / 0.02507178) ** 0.81631547)) - (1073.0 - 400) * (1 - exp(-(x / 0.40847247) ** 11.98899245))   ,results-plug-source-076-rad-F-P-010000-T-1073-Q-0378-H2-0.00
10000,1123.0,378,0.64,0.00,False,(1123.0 - 300) * (1 - exp(-(x / 0.02497517) ** 0.80065655)) - (1123.0 - 400) * (1 - exp(-(x / 0.40832661) ** 11.97005813))   ,results-plug-source-077-rad-F-P-010000-T-1123-Q-0378-H2-0.00
10000,1173.0,378,0.64,0.00,False,(1173.0 - 300) * (1 - exp(-(x / 0.02492942) ** 0.78913918)) - (1173.0 - 400) * (1 - exp(-(x / 0.40810172) ** 11.91548263))   ,results-plug-source-078-rad-F-P-010000-T-1173-Q-0378-H2-0.00
10000,1223.0,378,0.64,0.00,False,(1223.0 - 300) * (1 - exp(-(x / 0.02596356) ** 0.85168097)) - (1223.0 - 400) * (1 - exp(-(x / 0.40572591) ** 11.01722351))   ,results-plug-source-079-rad-F-P-010000-T-1223-Q-0378-H2-0.00
10000,1273.0,378,0.64,0.00,False,(1273.0 - 300) * (1 - exp(-(x / 0.02682903) ** 0.91051192)) - (1273.0 - 400) * (1 - exp(-(x / 0.40342913) ** 10.36909121))   ,results-plug-source-080-rad-F-P-010000-T-1273-Q-0378-H2-0.00
10000,773.0,373,0.54,0.10,False,(773.0 - 300) * (1 - exp(-(x / 0.04132785) ** 1.92089872)) - (773.0 - 400) * (1 - exp(-(x / 0.36586941) ** 12.41516606))   ,results-plug-source-081-rad-F-P-010000-T-0773-Q-0373-H2-0.10
10000,873.0,373,0.54,0.10,False,(873.0 - 300) * (1 - exp(-(x / 0.03457862) ** 1.41582889)) - (873.0 - 400) * (1 - exp(-(x / 0.39032227) ** 9.79102679))   ,results-plug-source-082-rad-F-P-010000-T-0873-Q-0373-H2-0.10
10000,973.0,373,0.54,0.10,False,(973.0 - 300) * (1 - exp(-(x / 0.02537489) ** 0.99659743)) - (973.0 - 400) * (1 - exp(-(x / 0.39703098) ** 9.77523826))   ,results-plug-source-083-rad-F-P-010000-T-0973-Q-0373-H2-0.10
10000,1023.0,373,0.54,0.10,False,(1023.0 - 300) * (1 - exp(-(x / 0.02528152) ** 0.88494798)) - (1023.0 - 400) * (1 - exp(-(x / 0.40339555) ** 10.55513796))   ,results-plug-source-084-rad-F-P-010000-T-1023-Q-0373-H2-0.10
10000,1073.0,373,0.54,0.10,False,(1073.0 - 300) * (1 - exp(-(x / 0.02507178) ** 0.81631547)) - (1073.0 - 400) * (1 - exp(-(x / 0.40847247) ** 11.98899245))   ,results-plug-source-085-rad-F-P-010000-T-1073-Q-0373-H2-0.10
10000,1123.0,373,0.54,0.10,False,(1123.0 - 300) * (1 - exp(-(x / 0.02497517) ** 0.80065655)) - (1123.0 - 400) * (1 - exp(-(x / 0.40832661) ** 11.97005813))   ,results-plug-source-086-rad-F-P-010000-T-1123-Q-0373-H2-0.10
10000,1173.0,373,0.54,0.10,False,(1173.0 - 300) * (1 - exp(-(x / 0.02492942) ** 0.78913918)) - (1173.0 - 400) * (1 - exp(-(x / 0.40810172) ** 11.91548263))   ,results-plug-source-087-rad-F-P-010000-T-1173-Q-0373-H2-0.10
10000,1223.0,373,0.54,0.10,False,(1223.0 - 300) * (1 - exp(-(x / 0.02596356) ** 0.85168097)) - (1223.0 - 400) * (1 - exp(-(x / 0.40572591) ** 11.01722351))   ,results-plug-source-088-rad-F-P-010000-T-1223-Q-0373-H2-0.10
10000,1273.0,373,0.54,0.10,False,(1273.0 - 300) * (1 - exp(-(x / 0.02682903) ** 0.91051192)) - (1273.0 - 400) * (1 - exp(-(x / 0.40342913) ** 10.36909121))   ,results-plug-source-089-rad-F-P-010000-T-1273-Q-0373-H2-0.10
