T,CH4,C2H2,C2H4,H2
1023,0.00018545,0.01388,0.00020721,0.00073507
1073,0.00039454,0.010945,0.00039254,0.0015623
1123,0.00063311,0.0087618,0.0005597,0.0030683
1173,0.00078438,0.0069626,0.00070796,0.006079
1223,0.00078414,0.0053775,0.00066415,0.0080386
