# Region type : patch outlet
# Faces         : 10
# Area          : 3.42015068e-06
# Scale factor  : 1.00000000e+00
# Weight field  : phi
# Time          	weightedAverage(C2H2)	weightedAverage(H2)	weightedAverage(CH4)	weightedAverage(C2H4)	weightedAverage(C4H4)	weightedAverage(T)
0.25000000      	3.34006473e-01	1.60804331e-10	4.19987940e-04	7.26267008e-13	3.41503101e-08	3.57539454e+02
0.50000000      	3.34006449e-01	2.32451138e-10	4.19987940e-04	1.98647060e-12	5.62969733e-08	3.62448525e+02
0.75000000      	3.34006316e-01	6.42704884e-10	4.19987942e-04	1.31177249e-11	1.78852816e-07	3.63053517e+02
1.00000000      	3.34005588e-01	3.05823770e-09	4.19988020e-04	1.72106425e-10	8.50720115e-07	3.62913802e+02
1.25000000      	3.34001904e-01	1.95864789e-08	4.19989328e-04	2.27099309e-09	4.17123153e-06	3.62738914e+02
1.50000000      	3.33987846e-01	1.10667651e-07	4.20000241e-04	1.78205626e-08	1.62563535e-05	3.62658063e+02
1.75000000      	3.33947003e-01	4.75617408e-07	4.20056816e-04	8.84687550e-08	4.91267051e-05	3.62632363e+02
2.00000000      	3.33850052e-01	1.57500320e-06	4.20263948e-04	3.33910849e-07	1.21562782e-04	3.62626388e+02
2.25000000      	3.33652378e-01	4.20216148e-06	4.20845799e-04	1.03925166e-06	2.59149218e-04	3.62626261e+02
2.50000000      	3.33298097e-01	9.40429580e-06	4.22169393e-04	2.72259522e-06	4.91212120e-04	3.62628578e+02
2.75000000      	3.32731870e-01	1.82454645e-05	4.24707381e-04	6.10097120e-06	8.44135322e-04	3.62632898e+02
3.00000000      	3.31913414e-01	3.15154950e-05	4.28942582e-04	1.19557677e-05	1.33405758e-03	3.62639473e+02
3.25000000      	3.30827555e-01	4.95219573e-05	4.35255476e-04	2.09613584e-05	1.96275806e-03	3.62648594e+02
3.50000000      	3.29486207e-01	7.20393300e-05	4.43842013e-04	3.35400770e-05	2.71810341e-03	3.62660308e+02
3.75000000      	3.27923352e-01	9.84013459e-05	4.54685975e-04	4.97908839e-05	3.57787330e-03	3.62674502e+02
4.00000000      	3.26186521e-01	1.27669647e-04	4.67581357e-04	6.95000802e-05	4.51477251e-03	3.62690931e+02
4.25000000      	3.24328286e-01	1.58808255e-04	4.82183974e-04	9.22077499e-05	5.50084189e-03	3.62709163e+02
4.50000000      	3.22399835e-01	1.90818563e-04	4.98070132e-04	1.17294567e-04	6.51040045e-03	3.62728773e+02
4.75000000      	3.20447260e-01	2.22819513e-04	5.14787346e-04	1.44062609e-04	7.52144011e-03	3.62749274e+02
5.00000000      	3.18510152e-01	2.54079725e-04	5.31891241e-04	1.71798204e-04	8.51585700e-03	3.62770229e+02
5.25000000      	3.16621672e-01	2.84017672e-04	5.48969134e-04	1.99815403e-04	9.47901979e-03	3.62791208e+02
5.50000000      	3.14809266e-01	3.12186734e-04	5.65653945e-04	2.27484382e-04	1.03991214e-02	3.62811799e+02
5.75000000      	3.13095425e-01	3.38257257e-04	5.81632241e-04	2.54250062e-04	1.12666075e-02	3.62831642e+02
6.00000000      	3.11498176e-01	3.62001918e-04	5.96649029e-04	2.79644883e-04	1.20738226e-02	3.62850426e+02
6.25000000      	3.10031250e-01	3.83285589e-04	6.10510362e-04	3.03297443e-04	1.28148830e-02	3.62867892e+02
6.50000000      	3.08704034e-01	4.02058154e-04	6.23083877e-04	3.24937255e-04	1.34857129e-02	3.62883876e+02
6.75000000      	3.07521481e-01	4.18347545e-04	6.34296882e-04	3.44394907e-04	1.40841379e-02	3.62898244e+02
7.00000000      	3.06484148e-01	4.32250897e-04	6.44131812e-04	3.61597198e-04	1.46099411e-02	3.62910863e+02
7.25000000      	3.05588455e-01	4.43922960e-04	6.52619258e-04	3.76557490e-04	1.50648176e-02	3.62921858e+02
7.50000000      	3.04827208e-01	4.53561768e-04	6.59828954e-04	3.89361788e-04	1.54521892e-02	3.62931197e+02
7.75000000      	3.04190325e-01	4.61393226e-04	6.65859892e-04	4.00152567e-04	1.57769086e-02	3.62939011e+02
8.00000000      	3.03665686e-01	4.67655810e-04	6.70830231e-04	4.09111608e-04	1.60448755e-02	3.62945485e+02
8.25000000      	3.03240025e-01	4.72586929e-04	6.74867926e-04	4.16443536e-04	1.62626195e-02	3.62950690e+02
8.50000000      	3.02899731e-01	4.76412055e-04	6.78102760e-04	4.22361431e-04	1.64369009e-02	3.62954887e+02
8.75000000      	3.02631549e-01	4.79336877e-04	6.80659954e-04	4.27074978e-04	1.65743601e-02	3.62958072e+02
9.00000000      	3.02423092e-01	4.81542723e-04	6.82655669e-04	4.30781808e-04	1.66812462e-02	3.62960591e+02
9.25000000      	3.02263193e-01	4.83184609e-04	6.84194111e-04	4.33661616e-04	1.67632275e-02	3.62962555e+02
9.50000000      	3.02142090e-01	4.84391529e-04	6.85366124e-04	4.35872961e-04	1.68252838e-02	3.62963993e+02
9.75000000      	3.02051476e-01	4.85268241e-04	6.86248945e-04	4.37552157e-04	1.68716682e-02	3.62965099e+02
10.00000000     	3.01984457e-01	4.85897957e-04	6.86906775e-04	4.38813711e-04	1.69059221e-02	3.62965921e+02
10.25000000     	3.01935435e-01	4.86345468e-04	6.87391908e-04	4.39751855e-04	1.69309277e-02	3.62966571e+02
10.50000000     	3.01899952e-01	4.86660303e-04	6.87746160e-04	4.40442701e-04	1.69489820e-02	3.62966966e+02
10.75000000     	3.01874526e-01	4.86879695e-04	6.88002408e-04	4.40946693e-04	1.69618812e-02	3.62967284e+02
11.00000000     	3.01856478e-01	4.87031208e-04	6.88186099e-04	4.41311085e-04	1.69710056e-02	3.62967521e+02
11.25000000     	3.01843784e-01	4.87134955e-04	6.88316649e-04	4.41572290e-04	1.69773987e-02	3.62967669e+02
11.50000000     	3.01834932e-01	4.87205427e-04	6.88408670e-04	4.41757991e-04	1.69818375e-02	3.62967788e+02
11.75000000     	3.01828810e-01	4.87252934e-04	6.88473025e-04	4.41888976e-04	1.69848931e-02	3.62967870e+02
12.00000000     	3.01824609e-01	4.87284729e-04	6.88517696e-04	4.41980670e-04	1.69869791e-02	3.62967933e+02
12.25000000     	3.01821747e-01	4.87305865e-04	6.88548481e-04	4.42044394e-04	1.69883921e-02	3.62967962e+02
12.50000000     	3.01819811e-01	4.87319825e-04	6.88569553e-04	4.42088374e-04	1.69893422e-02	3.62967991e+02
12.75000000     	3.01818511e-01	4.87328989e-04	6.88583881e-04	4.42118524e-04	1.69899764e-02	3.62967996e+02
13.00000000     	3.01817643e-01	4.87334970e-04	6.88593564e-04	4.42139061e-04	1.69903970e-02	3.62968021e+02
13.25000000     	3.01817067e-01	4.87338852e-04	6.88600067e-04	4.42152965e-04	1.69906740e-02	3.62968026e+02
13.50000000     	3.01816688e-01	4.87341358e-04	6.88604411e-04	4.42162322e-04	1.69908553e-02	3.62968034e+02
13.75000000     	3.01816438e-01	4.87342967e-04	6.88607296e-04	4.42168583e-04	1.69909733e-02	3.62968037e+02
14.00000000     	3.01816276e-01	4.87343996e-04	6.88609202e-04	4.42172749e-04	1.69910497e-02	3.62968070e+02
14.25000000     	3.01816171e-01	4.87344650e-04	6.88610455e-04	4.42175507e-04	1.69910989e-02	3.62968044e+02
14.50000000     	3.01816102e-01	4.87345065e-04	6.88611274e-04	4.42177324e-04	1.69911303e-02	3.62968065e+02
14.75000000     	3.01816059e-01	4.87345326e-04	6.88611807e-04	4.42178514e-04	1.69911503e-02	3.62968059e+02
15.00000000     	3.01816031e-01	4.87345489e-04	6.88612153e-04	4.42179290e-04	1.69911630e-02	3.62968061e+02
15.25000000     	3.01816013e-01	4.87345591e-04	6.88612375e-04	4.42179793e-04	1.69911710e-02	3.62968026e+02
15.50000000     	3.01816002e-01	4.87345654e-04	6.88612518e-04	4.42180118e-04	1.69911760e-02	3.62968028e+02
15.75000000     	3.01815995e-01	4.87345692e-04	6.88612609e-04	4.42180326e-04	1.69911791e-02	3.62968058e+02
16.00000000     	3.01815990e-01	4.87345715e-04	6.88612667e-04	4.42180459e-04	1.69911810e-02	3.62968056e+02
16.25000000     	3.01815988e-01	4.87345728e-04	6.88612703e-04	4.42180543e-04	1.69911821e-02	3.62968054e+02
16.50000000     	3.01815986e-01	4.87345736e-04	6.88612725e-04	4.42180595e-04	1.69911828e-02	3.62968063e+02
16.75000000     	3.01815985e-01	4.87345740e-04	6.88612739e-04	4.42180628e-04	1.69911832e-02	3.62968069e+02
17.00000000     	3.01815985e-01	4.87345742e-04	6.88612747e-04	4.42180648e-04	1.69911834e-02	3.62968073e+02
17.25000000     	3.01815984e-01	4.87345743e-04	6.88612752e-04	4.42180660e-04	1.69911836e-02	3.62968038e+02
17.50000000     	3.01815984e-01	4.87345743e-04	6.88612755e-04	4.42180667e-04	1.69911836e-02	3.62968045e+02
17.75000000     	3.01815984e-01	4.87345743e-04	6.88612756e-04	4.42180671e-04	1.69911836e-02	3.62968052e+02
18.00000000     	3.01815984e-01	4.87345743e-04	6.88612757e-04	4.42180673e-04	1.69911836e-02	3.62968044e+02
18.25000000     	3.01815984e-01	4.87345743e-04	6.88612757e-04	4.42180674e-04	1.69911837e-02	3.62968061e+02
18.50000000     	3.01815984e-01	4.87345743e-04	6.88612758e-04	4.42180675e-04	1.69911837e-02	3.62968074e+02
18.75000000     	3.01815984e-01	4.87345743e-04	6.88612758e-04	4.42180676e-04	1.69911837e-02	3.62968066e+02
19.00000000     	3.01815984e-01	4.87345744e-04	6.88612759e-04	4.42180678e-04	1.69911837e-02	3.62968044e+02
19.25000000     	3.01815984e-01	4.87345745e-04	6.88612760e-04	4.42180679e-04	1.69911838e-02	3.62968036e+02
19.50000000     	3.01815984e-01	4.87345747e-04	6.88612761e-04	4.42180681e-04	1.69911838e-02	3.62968049e+02
19.75000000     	3.01815983e-01	4.87345748e-04	6.88612762e-04	4.42180683e-04	1.69911838e-02	3.62968047e+02
20.00000000     	3.01815983e-01	4.87345750e-04	6.88612763e-04	4.42180685e-04	1.69911839e-02	3.62968045e+02
