# Region type : patch outlet
# Faces         : 10
# Area          : 3.42015068e-06
# Scale factor  : 1.00000000e+00
# Weight field  : phi
# Time          	weightedAverage(C2H2)	weightedAverage(H2)	weightedAverage(CH4)	weightedAverage(C2H4)	weightedAverage(C4H4)	weightedAverage(T)
0.25000000      	3.34006377e-01	5.59523793e-10	4.19987999e-04	2.32215943e-11	1.17253094e-07	3.64040661e+02
0.50000000      	3.34005348e-01	4.31803467e-09	4.19988407e-04	5.44149738e-10	1.04169183e-06	3.65216218e+02
0.75000000      	3.33992185e-01	9.83174717e-08	4.20003879e-04	2.83996239e-08	1.20348452e-05	3.64888683e+02
1.00000000      	3.33905836e-01	1.35474103e-06	4.20346366e-04	4.89352370e-07	6.98188218e-05	3.64805354e+02
1.25000000      	3.33541777e-01	9.17082529e-06	4.23605962e-04	4.71514834e-06	2.48192508e-04	3.64802364e+02
1.50000000      	3.32462357e-01	3.59186759e-05	4.38665364e-04	2.56621795e-05	6.62577402e-04	3.64810968e+02
1.75000000      	3.30212324e-01	9.40994099e-05	4.78699664e-04	8.38931332e-05	1.41425428e-03	3.64828518e+02
2.00000000      	3.26724128e-01	1.84755147e-04	5.49824281e-04	1.89496100e-04	2.50279398e-03	3.64858811e+02
2.25000000      	3.22395935e-01	2.95823635e-04	6.44228323e-04	3.30535668e-04	3.82114320e-03	3.64901574e+02
2.50000000      	3.17813486e-01	4.10590086e-04	7.45614217e-04	4.81492625e-04	5.22328754e-03	3.64952642e+02
2.75000000      	3.13460206e-01	5.16005761e-04	8.38977125e-04	6.18710345e-04	6.58583140e-03	3.65006335e+02
3.00000000      	3.09606406e-01	6.05534271e-04	9.16103517e-04	7.28646166e-04	7.82978110e-03	3.65058159e+02
3.25000000      	3.06341747e-01	6.77872691e-04	9.75590493e-04	8.07676975e-04	8.91440168e-03	3.65105179e+02
3.50000000      	3.03652756e-01	7.34528421e-04	1.02016888e-03	8.58473151e-04	9.82380290e-03	3.65145991e+02
3.75000000      	3.01485073e-01	7.77958975e-04	1.05387202e-03	8.86627623e-04	1.05573009e-02	3.65180007e+02
4.00000000      	2.99775430e-01	8.10622776e-04	1.08020260e-03	8.98502284e-04	1.11248856e-02	3.65207537e+02
4.25000000      	2.98461537e-01	8.34669789e-04	1.10144263e-03	9.00014971e-04	1.15449141e-02	3.65228943e+02
4.50000000      	2.97482378e-01	8.51925718e-04	1.11876815e-03	8.95994805e-04	1.18415411e-02	3.65244969e+02
4.75000000      	2.96777529e-01	8.63945545e-04	1.13270237e-03	8.89870215e-04	1.20413056e-02	3.65256588e+02
5.00000000      	2.96288539e-01	8.72048461e-04	1.14354821e-03	8.83720424e-04	1.21696718e-02	3.65264081e+02
5.25000000      	2.95961823e-01	8.77326823e-04	1.15163779e-03	8.78556584e-04	1.22484963e-02	3.65268999e+02
5.50000000      	2.95751470e-01	8.80648540e-04	1.15739986e-03	8.74677108e-04	1.22948452e-02	3.65272158e+02
5.75000000      	2.95620780e-01	8.82669475e-04	1.16132066e-03	8.71989424e-04	1.23210019e-02	3.65274159e+02
6.00000000      	2.95542278e-01	8.83859830e-04	1.16387522e-03	8.70242937e-04	1.23352021e-02	3.65275393e+02
6.25000000      	2.95496588e-01	8.84539841e-04	1.16547386e-03	8.69166659e-04	1.23426343e-02	3.65276082e+02
6.50000000      	2.95470765e-01	8.84917362e-04	1.16643802e-03	8.68532679e-04	1.23463916e-02	3.65276488e+02
6.75000000      	2.95456558e-01	8.85121463e-04	1.16700026e-03	8.68173579e-04	1.23482293e-02	3.65276731e+02
7.00000000      	2.95448935e-01	8.85229137e-04	1.16731827e-03	8.67977057e-04	1.23490998e-02	3.65276846e+02
7.25000000      	2.95444938e-01	8.85284674e-04	1.16749322e-03	8.67872740e-04	1.23494994e-02	3.65276918e+02
7.50000000      	2.95442885e-01	8.85312732e-04	1.16758707e-03	8.67818857e-04	1.23496771e-02	3.65276946e+02
7.75000000      	2.95441851e-01	8.85326641e-04	1.16763628e-03	8.67791698e-04	1.23497537e-02	3.65276961e+02
8.00000000      	2.95441339e-01	8.85333417e-04	1.16766155e-03	8.67778309e-04	1.23497855e-02	3.65276969e+02
8.25000000      	2.95441090e-01	8.85336665e-04	1.16767429e-03	8.67771839e-04	1.23497982e-02	3.65276973e+02
8.50000000      	2.95440970e-01	8.85338200e-04	1.16768060e-03	8.67768769e-04	1.23498031e-02	3.65276974e+02
8.75000000      	2.95440914e-01	8.85338914e-04	1.16768367e-03	8.67767335e-04	1.23498047e-02	3.65276975e+02
9.00000000      	2.95440887e-01	8.85339241e-04	1.16768515e-03	8.67766675e-04	1.23498052e-02	3.65276976e+02
9.25000000      	2.95440875e-01	8.85339388e-04	1.16768585e-03	8.67766375e-04	1.23498053e-02	3.65276976e+02
9.50000000      	2.95440870e-01	8.85339453e-04	1.16768617e-03	8.67766239e-04	1.23498053e-02	3.65276976e+02
9.75000000      	2.95440867e-01	8.85339481e-04	1.16768633e-03	8.67766179e-04	1.23498053e-02	3.65276976e+02
10.00000000     	2.95440866e-01	8.85339494e-04	1.16768640e-03	8.67766152e-04	1.23498053e-02	3.65276976e+02
10.25000000     	2.95440866e-01	8.85339500e-04	1.16768643e-03	8.67766140e-04	1.23498053e-02	3.65276976e+02
10.50000000     	2.95440866e-01	8.85339503e-04	1.16768644e-03	8.67766135e-04	1.23498053e-02	3.65276976e+02
10.75000000     	2.95440865e-01	8.85339504e-04	1.16768645e-03	8.67766134e-04	1.23498053e-02	3.65276976e+02
11.00000000     	2.95440865e-01	8.85339505e-04	1.16768645e-03	8.67766135e-04	1.23498053e-02	3.65276976e+02
11.25000000     	2.95440865e-01	8.85339505e-04	1.16768645e-03	8.67766136e-04	1.23498053e-02	3.65276976e+02
11.50000000     	2.95440865e-01	8.85339505e-04	1.16768645e-03	8.67766137e-04	1.23498053e-02	3.65276976e+02
11.75000000     	2.95440865e-01	8.85339505e-04	1.16768645e-03	8.67766137e-04	1.23498053e-02	3.65276976e+02
12.00000000     	2.95440865e-01	8.85339505e-04	1.16768645e-03	8.67766137e-04	1.23498053e-02	3.65276976e+02
12.25000000     	2.95440865e-01	8.85339505e-04	1.16768645e-03	8.67766137e-04	1.23498053e-02	3.65276976e+02
