# Region type : patch outlet
# Faces         : 10
# Area          : 3.42015068e-06
# Scale factor  : 1.00000000e+00
# Weight field  : phi
# Time          	weightedAverage(C2H2)	weightedAverage(H2)	weightedAverage(CH4)	weightedAverage(C2H4)	weightedAverage(C4H4)	weightedAverage(T)
11.00000000     	3.05422834e-01	6.10016387e-04	8.84406653e-04	5.38935447e-04	1.05873682e-02	3.63571892e+02
11.25000000     	3.05422834e-01	6.10016394e-04	8.84406659e-04	5.38935456e-04	1.05873683e-02	3.63571892e+02
11.50000000     	3.05422833e-01	6.10016403e-04	8.84406666e-04	5.38935466e-04	1.05873684e-02	3.63571892e+02
11.75000000     	3.05422833e-01	6.10016412e-04	8.84406674e-04	5.38935477e-04	1.05873686e-02	3.63571892e+02
12.00000000     	3.05422833e-01	6.10016422e-04	8.84406682e-04	5.38935487e-04	1.05873688e-02	3.63571892e+02
12.25000000     	3.05422832e-01	6.10016430e-04	8.84406689e-04	5.38935495e-04	1.05873690e-02	3.63571892e+02
12.50000000     	3.05422832e-01	6.10016437e-04	8.84406696e-04	5.38935502e-04	1.05873691e-02	3.63571892e+02
12.75000000     	3.05422831e-01	6.10016442e-04	8.84406702e-04	5.38935507e-04	1.05873693e-02	3.63571892e+02
13.00000000     	3.05422831e-01	6.10016446e-04	8.84406706e-04	5.38935511e-04	1.05873694e-02	3.63571892e+02
13.25000000     	3.05422831e-01	6.10016446e-04	8.84406709e-04	5.38935511e-04	1.05873694e-02	3.63571892e+02
13.50000000     	3.05422831e-01	6.10016446e-04	8.84406710e-04	5.38935511e-04	1.05873694e-02	3.63571892e+02
13.75000000     	3.05422831e-01	6.10016446e-04	8.84406710e-04	5.38935511e-04	1.05873694e-02	3.63571892e+02
14.00000000     	3.05422831e-01	6.10016446e-04	8.84406710e-04	5.38935511e-04	1.05873694e-02	3.63571892e+02
14.25000000     	3.05422831e-01	6.10016446e-04	8.84406710e-04	5.38935511e-04	1.05873694e-02	3.63571892e+02
14.50000000     	3.05422831e-01	6.10016446e-04	8.84406710e-04	5.38935511e-04	1.05873694e-02	3.63571892e+02
14.75000000     	3.05422831e-01	6.10016446e-04	8.84406710e-04	5.38935511e-04	1.05873694e-02	3.63571892e+02
15.00000000     	3.05422831e-01	6.10016446e-04	8.84406710e-04	5.38935511e-04	1.05873694e-02	3.63571892e+02
15.25000000     	3.05422831e-01	6.10016446e-04	8.84406710e-04	5.38935511e-04	1.05873694e-02	3.63571892e+02
15.50000000     	3.05422831e-01	6.10016446e-04	8.84406710e-04	5.38935511e-04	1.05873694e-02	3.63571892e+02
15.75000000     	3.05422831e-01	6.10016446e-04	8.84406710e-04	5.38935511e-04	1.05873694e-02	3.63571892e+02
16.00000000     	3.05422831e-01	6.10016446e-04	8.84406710e-04	5.38935511e-04	1.05873694e-02	3.63571892e+02
16.25000000     	3.05422831e-01	6.10016446e-04	8.84406710e-04	5.38935511e-04	1.05873694e-02	3.63571892e+02
16.50000000     	3.05422831e-01	6.10016446e-04	8.84406710e-04	5.38935511e-04	1.05873694e-02	3.63571892e+02
16.75000000     	3.05422831e-01	6.10016446e-04	8.84406710e-04	5.38935511e-04	1.05873694e-02	3.63571892e+02
17.00000000     	3.05422831e-01	6.10016446e-04	8.84406710e-04	5.38935511e-04	1.05873694e-02	3.63571892e+02
17.25000000     	3.05422831e-01	6.10016446e-04	8.84406710e-04	5.38935511e-04	1.05873694e-02	3.63571892e+02
17.50000000     	3.05422831e-01	6.10016446e-04	8.84406710e-04	5.38935511e-04	1.05873694e-02	3.63571892e+02
17.75000000     	3.05422831e-01	6.10016446e-04	8.84406710e-04	5.38935511e-04	1.05873694e-02	3.63571892e+02
18.00000000     	3.05422831e-01	6.10016446e-04	8.84406710e-04	5.38935511e-04	1.05873694e-02	3.63571892e+02
18.25000000     	3.05422831e-01	6.10016446e-04	8.84406710e-04	5.38935511e-04	1.05873694e-02	3.63571892e+02
18.50000000     	3.05422831e-01	6.10016446e-04	8.84406710e-04	5.38935511e-04	1.05873694e-02	3.63571892e+02
18.75000000     	3.05422831e-01	6.10016446e-04	8.84406710e-04	5.38935511e-04	1.05873694e-02	3.63571892e+02
19.00000000     	3.05422831e-01	6.10016446e-04	8.84406710e-04	5.38935511e-04	1.05873694e-02	3.63571892e+02
19.25000000     	3.05422831e-01	6.10016446e-04	8.84406710e-04	5.38935511e-04	1.05873694e-02	3.63571892e+02
19.50000000     	3.05422831e-01	6.10016446e-04	8.84406710e-04	5.38935511e-04	1.05873694e-02	3.63571892e+02
19.75000000     	3.05422831e-01	6.10016446e-04	8.84406710e-04	5.38935511e-04	1.05873694e-02	3.63571892e+02
20.00000000     	3.05422831e-01	6.10016446e-04	8.84406710e-04	5.38935511e-04	1.05873694e-02	3.63571892e+02
