# Region type : patch outlet
# Faces         : 10
# Area          : 3.42015068e-06
# Scale factor  : 1.00000000e+00
# Weight field  : phi
# Time          	weightedAverage(C2H2)	weightedAverage(H2)	weightedAverage(CH4)	weightedAverage(C2H4)	weightedAverage(C4H4)	weightedAverage(T)
0.25000000      	3.34006430e-01	3.38995153e-10	4.19987943e-04	2.35497995e-12	7.33050833e-08	3.67388368e+02
0.50000000      	3.34006126e-01	1.43410121e-09	4.19987977e-04	5.66103627e-11	3.50577442e-07	3.69125952e+02
0.75000000      	3.34005729e-01	2.73608907e-09	4.19987977e-04	1.79033693e-10	7.17677110e-07	3.75033542e+02
1.00000000      	3.34004241e-01	7.73283664e-09	4.19988095e-04	8.85307913e-10	2.09141715e-06	3.78113182e+02
1.25000000      	3.33998889e-01	2.82964075e-08	4.19989364e-04	4.71094558e-09	6.98321782e-06	3.79393755e+02
1.50000000      	3.33982143e-01	1.09624362e-07	4.19997223e-04	2.15979562e-08	2.19109379e-05	3.79648942e+02
1.75000000      	3.33935948e-01	3.97121918e-07	4.20033036e-04	8.75687496e-08	6.15523103e-05	3.79594112e+02
2.00000000      	3.33821068e-01	1.27318680e-06	4.20165224e-04	3.29879829e-07	1.55825502e-04	3.79523523e+02
2.25000000      	3.33565482e-01	3.53336400e-06	4.20570967e-04	1.11510980e-06	3.56273493e-04	3.79491378e+02
2.50000000      	3.33062651e-01	8.47648665e-06	4.21613382e-04	3.23736518e-06	7.33890200e-04	3.79489084e+02
2.75000000      	3.32187242e-01	1.77709522e-05	4.23881207e-04	8.00898778e-06	1.36482852e-03	3.79505588e+02
3.00000000      	3.30824540e-01	3.30840736e-05	4.28136097e-04	1.71282199e-05	2.30931313e-03	3.79536290e+02
3.25000000      	3.28900759e-01	5.56214817e-05	4.35163201e-04	3.23284920e-05	3.59375725e-03	3.79580135e+02
3.50000000      	3.26401493e-01	8.57825672e-05	4.45581983e-04	5.49546942e-05	5.20356398e-03	3.79636784e+02
3.75000000      	3.23372829e-01	1.23063466e-04	4.59695905e-04	8.56454640e-05	7.08779758e-03	3.79705385e+02
4.00000000      	3.19907951e-01	1.66206144e-04	4.77432148e-04	1.24223033e-04	9.17172393e-03	3.79784267e+02
4.25000000      	3.16126762e-01	2.13493598e-04	4.98374929e-04	1.69783691e-04	1.13715013e-02	3.79871242e+02
4.50000000      	3.12156112e-01	2.63066495e-04	5.21860099e-04	2.20910711e-04	1.36064872e-02	3.79963772e+02
4.75000000      	3.08115301e-01	3.13171973e-04	5.47089087e-04	2.75918339e-04	1.58070697e-02	3.80059447e+02
5.00000000      	3.04108267e-01	3.62309055e-04	5.73229690e-04	3.33059790e-04	1.79179929e-02	3.80155851e+02
5.25000000      	3.00221197e-01	4.09282021e-04	5.99489605e-04	3.90672753e-04	1.98984415e-02	3.80250784e+02
5.50000000      	2.96523369e-01	4.53193544e-04	6.25162267e-04	4.47265121e-04	2.17203740e-02	3.80342439e+02
5.75000000      	2.93069175e-01	4.93410463e-04	6.49651405e-04	5.01557955e-04	2.33663046e-02	3.80429029e+02
6.00000000      	2.89899776e-01	5.29527104e-04	6.72482995e-04	5.52506620e-04	2.48273261e-02	3.80509195e+02
6.25000000      	2.87044008e-01	5.61334843e-04	6.93309071e-04	5.99310591e-04	2.61015646e-02	3.80581858e+02
6.50000000      	2.84518631e-01	5.88798948e-04	7.11906261e-04	6.41417378e-04	2.71930408e-02	3.80646317e+02
6.75000000      	2.82328425e-01	6.12037729e-04	7.28169343e-04	6.78519099e-04	2.81107292e-02	3.80702272e+02
7.00000000      	2.80466672e-01	6.31299188e-04	7.42099772e-04	7.10538944e-04	2.88676272e-02	3.80749795e+02
7.25000000      	2.78916337e-01	6.46932696e-04	7.53789461e-04	7.37605752e-04	2.94797305e-02	3.80789171e+02
7.50000000      	2.77651965e-01	6.59356586e-04	7.63401114e-04	7.60017991e-04	2.99649204e-02	3.80821146e+02
7.75000000      	2.76642171e-01	6.69024054e-04	7.71146539e-04	7.78199687e-04	3.03418197e-02	3.80846533e+02
8.00000000      	2.75852313e-01	6.76391566e-04	7.77265351e-04	7.92653968e-04	3.06287466e-02	3.80866273e+02
8.25000000      	2.75247051e-01	6.81892624e-04	7.82005727e-04	8.03918689e-04	3.08428496e-02	3.80881258e+02
8.50000000      	2.74792486e-01	6.85918952e-04	7.85608688e-04	8.12528430e-04	3.09994943e-02	3.80892425e+02
8.75000000      	2.74457726e-01	6.88809434e-04	7.88296553e-04	8.18985209e-04	3.11119114e-02	3.80900454e+02
9.00000000      	2.74215837e-01	6.90846095e-04	7.90265686e-04	8.23738879e-04	3.11910874e-02	3.80905768e+02
9.25000000      	2.74044233e-01	6.92255599e-04	7.91683110e-04	8.27176669e-04	3.12458455e-02	3.80909442e+02
9.50000000      	2.73924623e-01	6.93214411e-04	7.92686177e-04	8.29620248e-04	3.12830562e-02	3.80911991e+02
9.75000000      	2.73842656e-01	6.93855985e-04	7.93384443e-04	8.31328437e-04	3.13079178e-02	3.80913783e+02
10.00000000     	2.73787390e-01	6.94278582e-04	7.93862887e-04	8.32503541e-04	3.13242604e-02	3.80914928e+02
10.25000000     	2.73750701e-01	6.94552801e-04	7.94185757e-04	8.33299552e-04	3.13348368e-02	3.80915720e+02
10.50000000     	2.73726703e-01	6.94728216e-04	7.94400475e-04	8.33830839e-04	3.13415797e-02	3.80916240e+02
10.75000000     	2.73711228e-01	6.94838912e-04	7.94541278e-04	8.34180438e-04	3.13458177e-02	3.80916599e+02
11.00000000     	2.73701382e-01	6.94907870e-04	7.94632376e-04	8.34407371e-04	3.13484451e-02	3.80916825e+02
11.25000000     	2.73695198e-01	6.94950304e-04	7.94690561e-04	8.34552770e-04	3.13500528e-02	3.80916965e+02
11.50000000     	2.73691362e-01	6.94976111e-04	7.94727269e-04	8.34644774e-04	3.13510244e-02	3.80917033e+02
11.75000000     	2.73689009e-01	6.94991634e-04	7.94750155e-04	8.34702299e-04	3.13516046e-02	3.80917113e+02
12.00000000     	2.73687582e-01	6.95000873e-04	7.94764264e-04	8.34737858e-04	3.13519472e-02	3.80917147e+02
