# Region type : patch outlet
# Faces         : 10
# Area          : 3.42015068e-06
# Scale factor  : 1.00000000e+00
# Weight field  : phi
# Time          	weightedAverage(C2H2)	weightedAverage(H2)	weightedAverage(CH4)	weightedAverage(C2H4)	weightedAverage(C4H4)	weightedAverage(T)
0.00010000      	3.34006512e-01	3.65211811e-31	4.19987935e-04	0.00000000e+00	1.15631937e-25	3.01111019e+02
0.00020000      	3.34006512e-01	1.21522596e-30	4.19987935e-04	0.00000000e+00	2.33515908e-25	3.01210502e+02
0.00030000      	3.34006512e-01	2.09874105e-30	4.19987935e-04	0.00000000e+00	3.55490083e-25	3.01312967e+02
0.00040000      	3.34006512e-01	2.99985940e-30	4.19987935e-04	0.00000000e+00	4.79241911e-25	3.01406698e+02
0.00050000      	3.34006512e-01	3.93973041e-30	4.19987935e-04	0.00000000e+00	6.07512173e-25	3.01508576e+02
0.00060000      	3.34006512e-01	4.91254766e-30	4.19987935e-04	0.00000000e+00	7.39315165e-25	3.01610437e+02
0.00070000      	3.34006512e-01	5.88548624e-30	4.19987935e-04	0.00000000e+00	8.70177760e-25	3.01692143e+02
0.00080000      	3.34006512e-01	6.90836728e-30	4.19987935e-04	0.00000000e+00	1.00655969e-24	3.01792087e+02
0.00090000      	3.34006512e-01	7.96348164e-30	4.19987935e-04	1.45134241e-51	1.14585484e-24	3.01891983e+02
0.00100000      	3.34006512e-01	9.05022194e-30	4.19987935e-04	3.56632351e-51	1.28781473e-24	3.01989462e+02
0.00110000      	3.34006512e-01	1.01805763e-29	4.19987935e-04	6.34519448e-51	1.43364201e-24	3.02088969e+02
0.00120000      	3.34006512e-01	1.13593850e-29	4.19987935e-04	9.87869641e-51	1.58373452e-24	3.02188617e+02
0.05000000      	3.34006512e-01	2.92038251e-18	4.19987935e-04	2.83840847e-25	1.77317945e-15	3.06472274e+02
0.10000000      	3.34006512e-01	1.66371376e-13	4.19987935e-04	2.09771543e-17	4.16969575e-11	3.18733212e+02
0.15000000      	3.34006500e-01	4.44282351e-11	4.19987936e-04	1.91522269e-14	1.02488088e-08	3.79013383e+02
0.20000000      	3.34006500e-01	4.65245337e-11	4.19987936e-04	3.36450633e-14	1.06130440e-08	3.62581956e+02
0.25000000      	3.34006501e-01	4.41622280e-11	4.19987936e-04	4.19682173e-14	1.01247267e-08	3.55215985e+02
0.30000000      	3.34006500e-01	4.45411418e-11	4.19987936e-04	5.15448560e-14	1.02923071e-08	3.57263070e+02
0.35000000      	3.34006500e-01	4.68701057e-11	4.19987936e-04	6.37031065e-14	1.09272130e-08	3.59149676e+02
0.40000000      	3.34006498e-01	5.15239867e-11	4.19987936e-04	8.09121313e-14	1.21295601e-08	3.60311431e+02
0.45000000      	3.34006496e-01	5.83252254e-11	4.19987936e-04	1.05079766e-13	1.38780959e-08	3.61045949e+02
0.50000000      	3.34006494e-01	6.74050887e-11	4.19987936e-04	1.39147355e-13	1.62303327e-08	3.61534007e+02
0.55000000      	3.34006490e-01	7.92026523e-11	4.19987936e-04	1.88003472e-13	1.93284110e-08	3.61870753e+02
0.60000000      	3.34006486e-01	9.43502452e-11	4.19987936e-04	2.59287535e-13	2.33765484e-08	3.62099484e+02
0.65000000      	3.34006480e-01	1.13929750e-10	4.19987936e-04	3.66392900e-13	2.87158705e-08	3.62249252e+02
0.70000000      	3.34006472e-01	1.39515974e-10	4.19987935e-04	5.32124076e-13	3.58444263e-08	3.62339992e+02
0.80000000      	3.34006447e-01	2.19297501e-10	4.19987935e-04	1.22909165e-12	5.87666443e-08	3.62402129e+02
0.90000000      	3.34006399e-01	3.70461129e-10	4.19987935e-04	3.20678585e-12	1.03116987e-07	3.62373548e+02
1.00000000      	3.34006303e-01	6.77861127e-10	4.19987938e-04	9.33891587e-12	1.91976004e-07	3.62308285e+02
1.10000000      	3.34006109e-01	1.33330376e-09	4.19987954e-04	2.93370378e-11	3.71231875e-07	3.62236914e+02
1.20000000      	3.34005721e-01	2.75363090e-09	4.19988014e-04	9.40843524e-11	7.26444315e-07	3.62174054e+02
1.30000000      	3.34004975e-01	5.79195612e-09	4.19988188e-04	2.90519195e-10	1.40526777e-06	3.62125144e+02
1.40000000      	3.34003601e-01	1.20725232e-08	4.19988641e-04	8.28116863e-10	2.64192732e-06	3.62089930e+02
1.50000000      	3.34001196e-01	2.44574573e-08	4.19989698e-04	2.13574681e-09	4.77805510e-06	3.62066046e+02
1.60000000      	3.33997200e-01	4.76166000e-08	4.19991952e-04	4.96954837e-09	8.27494126e-06	3.62050626e+02
1.70000000      	3.33990876e-01	8.86329688e-08	4.19996392e-04	1.05110452e-08	1.37152903e-05	3.62041073e+02
1.80000000      	3.33981310e-01	1.57551001e-07	4.20004540e-04	2.04583330e-08	2.17954942e-05	3.62035435e+02
2.00000000      	3.33947936e-01	4.36189193e-07	4.20041493e-04	6.36406684e-08	4.91371894e-05	3.62030460e+02
2.20000000      	3.33886565e-01	1.03165692e-06	4.20129908e-04	1.63485906e-07	9.75079073e-05	3.62029288e+02
2.40000000      	3.33784937e-01	2.13660150e-06	4.20309824e-04	3.66985665e-07	1.74742698e-04	3.62029562e+02
2.60000000      	3.33630319e-01	3.96223987e-06	4.20631519e-04	7.42488863e-07	2.88541151e-04	3.62030611e+02
2.80000000      	3.33411175e-01	6.70349993e-06	4.21149563e-04	1.37632087e-06	4.45547652e-04	3.62032273e+02
3.00000000      	3.33118871e-01	1.05061466e-05	4.21915290e-04	2.36174991e-06	6.50422719e-04	3.62034547e+02
3.25000000      	3.32644394e-01	1.68557687e-05	4.23281280e-04	4.21822599e-06	9.76492124e-04	3.62038272e+02
3.50000000      	3.32050315e-01	2.49492046e-05	4.25142865e-04	6.88976480e-06	1.37791918e-03	3.62042997e+02
3.75000000      	3.31347864e-01	3.45984701e-05	4.27504261e-04	1.04504595e-05	1.84640502e-03	3.62048650e+02
4.00000000      	3.30555201e-01	4.55052357e-05	4.30332102e-04	1.49118047e-05	2.36963294e-03	3.62055116e+02
4.25000000      	3.29693944e-01	5.73202498e-05	4.33564961e-04	2.02277628e-05	2.93347391e-03	3.62062276e+02
4.50000000      	3.28786262e-01	6.96916882e-05	4.37123986e-04	2.63060937e-05	3.52378270e-03	3.62069994e+02
4.75000000      	3.27852992e-01	8.22956859e-05	4.40921874e-04	3.30214383e-05	4.12752202e-03	3.62078076e+02
5.00000000      	3.26912761e-01	9.48501715e-05	4.44869199e-04	4.02269984e-05	4.73324801e-03	3.62086363e+02
5.25000000      	3.25981814e-01	1.07117134e-04	4.48878391e-04	4.77637081e-05	5.33114514e-03	3.62094760e+02
5.50000000      	3.25074221e-01	1.18899144e-04	4.52866253e-04	5.54673350e-05	5.91283230e-03	3.62103091e+02
5.75000000      	3.24202146e-01	1.30034821e-04	4.56755928e-04	6.31746550e-05	6.47113018e-03	3.62111205e+02
6.00000000      	3.23376016e-01	1.40395711e-04	4.60478849e-04	7.07295629e-05	6.99990200e-03	3.62119051e+02
6.25000000      	3.22604539e-01	1.49885076e-04	4.63976709e-04	7.79892848e-05	7.49400196e-03	3.62126462e+02
6.50000000      	3.21894578e-01	1.58438149e-04	4.67203334e-04	8.48304959e-05	7.94932878e-03	3.62133363e+02
6.75000000      	3.21250984e-01	1.66022436e-04	4.70126013e-04	9.11544691e-05	8.36292591e-03	3.62139654e+02
7.00000000      	3.20676467e-01	1.72637046e-04	4.72726030e-04	9.68905702e-05	8.73307725e-03	3.62145363e+02
7.25000000      	3.20171568e-01	1.78310260e-04	4.74998200e-04	1.01997508e-04	9.05934569e-03	3.62150391e+02
7.50000000      	3.19734781e-01	1.83095378e-04	4.76949496e-04	1.06462319e-04	9.34253374e-03	3.62154762e+02
7.75000000      	3.19362802e-01	1.87065096e-04	4.78596933e-04	1.10297261e-04	9.58455491e-03	3.62158491e+02
8.00000000      	3.19050897e-01	1.90305141e-04	4.79965033e-04	1.13535226e-04	9.78823394e-03	3.62161644e+02
8.25000000      	3.18793325e-01	1.92907901e-04	4.81083169e-04	1.16224349e-04	9.95706127e-03	3.62164262e+02
8.50000000      	3.18583761e-01	1.94966699e-04	4.81983090e-04	1.18422507e-04	1.00949332e-02	3.62166396e+02
8.75000000      	3.18415704e-01	1.96571134e-04	4.82696802e-04	1.20192263e-04	1.02059054e-02	3.62168114e+02
9.00000000      	3.18282800e-01	1.97803700e-04	4.83254930e-04	1.21596610e-04	1.02939799e-02	3.62169459e+02
