# Region type : patch outlet
# Faces         : 10
# Area          : 3.42015068e-06
# Scale factor  : 1.00000000e+00
# Weight field  : phi
# Time          	weightedAverage(C2H2)	weightedAverage(H2)	weightedAverage(CH4)	weightedAverage(C2H4)	weightedAverage(C4H4)	weightedAverage(T)
0.25000000      	3.34005581e-01	4.23351098e-09	4.19988628e-04	1.20416237e-09	8.10373545e-07	3.59316778e+02
0.50000000      	3.34004843e-01	7.18463691e-09	4.19989099e-04	2.83375443e-09	1.47283693e-06	3.65253280e+02
0.75000000      	3.34001970e-01	2.12778543e-08	4.19991461e-04	1.00506439e-08	3.99150872e-06	3.65964230e+02
1.00000000      	3.33992190e-01	8.83644244e-08	4.20004898e-04	4.39505557e-08	1.21622908e-05	3.65895455e+02
1.25000000      	3.33960282e-01	4.19778833e-07	4.20092559e-04	2.07406401e-07	3.62050740e-05	3.65791269e+02
1.50000000      	3.33862540e-01	1.86085210e-06	4.20618738e-04	1.05065130e-06	9.87986280e-05	3.65756582e+02
1.75000000      	3.33586383e-01	6.93028991e-06	4.23078205e-04	4.85556237e-06	2.46283112e-04	3.65755589e+02
2.00000000      	3.32911551e-01	2.08237475e-05	4.31356124e-04	1.75257249e-05	5.56092733e-04	3.65765281e+02
2.25000000      	3.31541374e-01	5.06985971e-05	4.51719320e-04	4.84872152e-05	1.12097330e-03	3.65782303e+02
2.50000000      	3.29221215e-01	1.02757337e-04	4.90201868e-04	1.06817434e-04	2.01123580e-03	3.65809559e+02
2.75000000      	3.25865761e-01	1.79088452e-04	5.48998025e-04	1.96052295e-04	3.23954041e-03	3.65849209e+02
3.00000000      	3.21604941e-01	2.76566624e-04	6.24816479e-04	3.11789577e-04	4.75059782e-03	3.65900681e+02
3.25000000      	3.16734208e-01	3.88164375e-04	7.10164519e-04	4.43378371e-04	6.43718452e-03	3.65960822e+02
3.50000000      	3.11604441e-01	5.05703022e-04	7.96433600e-04	5.78191582e-04	8.17380203e-03	3.66025297e+02
3.75000000      	3.06535335e-01	6.21960312e-04	8.76414118e-04	7.05176280e-04	9.84353408e-03	3.66089848e+02
4.00000000      	3.01759454e-01	7.31924094e-04	9.45663472e-04	8.16926155e-04	1.13575484e-02	3.66151326e+02
4.25000000      	2.97409523e-01	8.32954812e-04	1.00256189e-03	9.09939928e-04	1.26617829e-02	3.66207635e+02
4.50000000      	2.93533041e-01	9.24302344e-04	1.04763136e-03	9.83798866e-04	1.37345515e-02	3.66258076e+02
4.75000000      	2.90118470e-01	1.00639829e-03	1.08265773e-03	1.03999553e-03	1.45792724e-02	3.66302693e+02
5.00000000      	2.87121499e-01	1.08021125e-03	1.10994312e-03	1.08090044e-03	1.52159167e-02	3.66342046e+02
5.25000000      	2.84485762e-01	1.14678976e-03	1.13179460e-03	1.10906231e-03	1.56733514e-02	3.66376985e+02
5.50000000      	2.82156465e-01	1.20700833e-03	1.15022871e-03	1.12684360e-03	1.59835217e-02	3.66408165e+02
5.75000000      	2.80087572e-01	1.26147885e-03	1.16683306e-03	1.13630708e-03	1.61775909e-02	3.66436351e+02
6.00000000      	2.78244228e-01	1.31056863e-03	1.18272779e-03	1.13924001e-03	1.62836975e-02	3.66461923e+02
6.25000000      	2.76602021e-01	1.35447521e-03	1.19858787e-03	1.13720522e-03	1.63259593e-02	3.66485096e+02
6.50000000      	2.75144577e-01	1.39331662e-03	1.21470207e-03	1.13157626e-03	1.63242964e-02	3.66506106e+02
6.75000000      	2.73860612e-01	1.42721086e-03	1.23105444e-03	1.12355659e-03	1.62945357e-02	3.66524981e+02
7.00000000      	2.72741163e-01	1.45633152e-03	1.24741763e-03	1.11418056e-03	1.62487335e-02	3.66541718e+02
7.25000000      	2.71777477e-01	1.48093534e-03	1.26344681e-03	1.10430310e-03	1.61956964e-02	3.66556282e+02
7.50000000      	2.70959689e-01	1.50136496e-03	1.27876397e-03	1.09459042e-03	1.61415417e-02	3.66568846e+02
7.75000000      	2.70276293e-01	1.51803323e-03	1.29302397e-03	1.08552059e-03	1.60902360e-02	3.66579458e+02
8.00000000      	2.69714209e-01	1.53139768e-03	1.30595863e-03	1.07739704e-03	1.60440895e-02	3.66588241e+02
8.25000000      	2.69259266e-01	1.54193182e-03	1.31739823e-03	1.07037318e-03	1.60041916e-02	3.66595401e+02
8.50000000      	2.68896860e-01	1.55009869e-03	1.32727405e-03	1.06448388e-03	1.59707812e-02	3.66600688e+02
8.75000000      	2.68612637e-01	1.55633014e-03	1.33560700e-03	1.05967878e-03	1.59435468e-02	3.66604722e+02
9.00000000      	2.68393083e-01	1.56101277e-03	1.34248825e-03	1.05585341e-03	1.59218598e-02	3.66607805e+02
9.25000000      	2.68225941e-01	1.56448066e-03	1.34805695e-03	1.05287522e-03	1.59049437e-02	3.66610193e+02
9.50000000      	2.68100468e-01	1.56701359e-03	1.35247890e-03	1.05060342e-03	1.58919920e-02	3.66612020e+02
9.75000000      	2.68007527e-01	1.56883945e-03	1.35592854e-03	1.04890270e-03	1.58822416e-02	3.66613401e+02
10.00000000     	2.67939555e-01	1.57013933e-03	1.35857539e-03	1.04765137e-03	1.58750137e-02	3.66614515e+02
10.25000000     	2.67890442e-01	1.57105390e-03	1.36057499e-03	1.04674534e-03	1.58697316e-02	3.66615359e+02
