# Region type : patch outlet
# Faces         : 10
# Area          : 3.42015068e-06
# Scale factor  : 1.00000000e+00
# Weight field  : phi
# Time          	weightedAverage(C2H2)	weightedAverage(H2)	weightedAverage(CH4)	weightedAverage(C2H4)	weightedAverage(C4H4)	weightedAverage(T)
0.25000000      	3.34005767e-01	3.82384792e-09	4.19988338e-04	6.05386798e-10	6.50479180e-07	3.81248409e+02
0.50000000      	3.34004902e-01	8.13113682e-09	4.19988887e-04	2.26017717e-09	1.41519104e-06	3.61029156e+02
0.75000000      	3.34004915e-01	8.06899705e-09	4.19988851e-04	2.40871945e-09	1.40519037e-06	3.63610925e+02
1.00000000      	3.34004438e-01	1.05893235e-08	4.19989108e-04	3.33664292e-09	1.82323505e-06	3.64432887e+02
1.25000000      	3.34003483e-01	1.58448110e-08	4.19989689e-04	5.29021633e-09	2.65651846e-06	3.64699529e+02
1.50000000      	3.34001706e-01	2.61771788e-08	4.19990955e-04	9.24476350e-09	4.19350304e-06	3.64775839e+02
1.75000000      	3.33998361e-01	4.71639117e-08	4.19993885e-04	1.73905519e-08	7.04998662e-06	3.64759110e+02
2.00000000      	3.33992012e-01	9.11909607e-08	4.20000958e-04	3.45850305e-08	1.23659448e-05	3.64707760e+02
2.25000000      	3.33979957e-01	1.85309434e-07	4.20018329e-04	7.22619640e-08	2.21805059e-05	3.64657245e+02
2.50000000      	3.33957185e-01	3.86383137e-07	4.20061049e-04	1.58222897e-07	4.00517532e-05	3.64622183e+02
2.75000000      	3.33914650e-01	8.07691498e-07	4.20164862e-04	3.58319339e-07	7.20060964e-05	3.64603676e+02
3.00000000      	3.33836837e-01	1.65897911e-06	4.20409232e-04	8.16068604e-07	1.27694809e-04	3.64597292e+02
3.25000000      	3.33699220e-01	3.29330965e-06	4.20953210e-04	1.80893917e-06	2.21298014e-04	3.64598373e+02
3.50000000      	3.33465670e-01	6.25628684e-06	4.22082087e-04	3.81483583e-06	3.72236460e-04	3.64603482e+02
3.75000000      	3.33087931e-01	1.13060915e-05	4.24247026e-04	7.55905932e-06	6.04481787e-04	3.64611042e+02
4.00000000      	3.32507143e-01	1.93963430e-05	4.28080455e-04	1.40199032e-05	9.44928315e-04	3.64620909e+02
