# Region type : patch outlet
# Faces         : 10
# Area          : 3.42015068e-06
# Scale factor  : 1.00000000e+00
# Weight field  : phi
# Time          	weightedAverage(C2H2)	weightedAverage(H2)	weightedAverage(CH4)	weightedAverage(C2H4)	weightedAverage(C4H4)	weightedAverage(T)
0.25000000      	3.34003965e-01	1.56165739e-08	4.19990439e-04	5.67228719e-09	2.16557124e-06	3.89581817e+02
0.50000000      	3.34003105e-01	2.15111468e-08	4.19991535e-04	9.22370594e-09	2.88886914e-06	3.62786696e+02
0.75000000      	3.34003358e-01	2.05507197e-08	4.19991421e-04	9.06713247e-09	2.66148181e-06	3.64875046e+02
1.00000000      	3.34002545e-01	2.67678533e-08	4.19992563e-04	1.21048015e-08	3.32578851e-06	3.65513362e+02
1.25000000      	3.34000907e-01	3.96080721e-08	4.19995020e-04	1.83811222e-08	4.65702787e-06	3.65731088e+02
1.50000000      	3.33997950e-01	6.41016828e-08	4.20000041e-04	3.04728721e-08	7.02370333e-06	3.65793328e+02
1.75000000      	3.33992515e-01	1.12381525e-07	4.20010812e-04	5.45567418e-08	1.12865014e-05	3.65776253e+02
2.00000000      	3.33982300e-01	2.11025037e-07	4.20035033e-04	1.04900006e-07	1.90772650e-05	3.65730997e+02
2.25000000      	3.33962816e-01	4.17459885e-07	4.20091591e-04	2.15824847e-07	3.33986582e-05	3.65687609e+02
2.50000000      	3.33925511e-01	8.51018547e-07	4.20226543e-04	4.69505376e-07	5.95903465e-05	3.65657617e+02
2.75000000      	3.33854736e-01	1.74534770e-06	4.20546956e-04	1.05082309e-06	1.06718374e-04	3.65641441e+02
3.00000000      	3.33723834e-01	3.52019992e-06	4.21277938e-04	2.33182024e-06	1.89082596e-04	3.65635444e+02
3.25000000      	3.33491410e-01	6.85500029e-06	4.22834107e-04	4.96679888e-06	3.27227819e-04	3.65636026e+02
3.50000000      	3.33099537e-01	1.27324069e-05	4.25877183e-04	9.95616218e-06	5.47724962e-04	3.65641115e+02
3.75000000      	3.32476366e-01	2.24069252e-05	4.31314472e-04	1.86201297e-05	8.80803254e-04	3.65650241e+02
4.00000000      	3.31540399e-01	3.73361795e-05	4.40242111e-04	3.25044277e-05	1.35772465e-03	3.65663781e+02
